dateutc,tempinf,humidityin,baromrelin,baromabsin,tempf,battout,humidity,winddir,windspeedmph,windgustmph,maxdailygust,hourlyrainin,eventrainin,dailyrainin,weeklyrainin,monthlyrainin,totalrainin,solarradiation,uv,batt_co2,feelsLike,dewPoint,feelsLikein,dewPointin,lastRain,tz,date
1634544960000,30.611111111111107,66,758.5455999999999,756.3865999999999,27.22222222222222,1,87,183,0.0,0.0,2.592832,0.425,8.102599999999999,2.5908,8.102599999999999,64.7954,202.692,35.97,0,1,31.155555555555555,24.86111111111111,35.5,23.5,2021-10-18 16:17:00,Asia/Singapore,2021-10-18 16:16:00
1634545020000,30.611111111111107,67,758.698,756.539,27.22222222222222,1,88,164,0.0,0.0,2.592832,0.425,8.102599999999999,2.5908,8.102599999999999,64.7954,202.692,38.17,0,1,31.338888888888885,25.05555555555555,35.77777777777778,23.77777777777777,2021-10-18 16:18:00,Asia/Singapore,2021-10-18 16:17:00
1634545080000,30.72222222222222,67,758.6218,756.4627999999999,27.22222222222222,1,88,164,0.0,0.0,2.592832,0.354,8.102599999999999,2.5908,8.102599999999999,64.7954,202.692,41.96,0,1,31.338888888888885,25.05555555555555,36.05555555555556,23.88888888888889,2021-10-18 16:19:00,Asia/Singapore,2021-10-18 16:18:00
1634545140000,30.611111111111107,67,758.6218,756.4627999999999,27.22222222222222,1,88,164,0.0,0.0,2.592832,0.236,8.102599999999999,2.5908,8.102599999999999,64.7954,202.692,43.31,0,1,31.338888888888885,25.05555555555555,35.77777777777778,23.77777777777777,2021-10-18 16:20:00,Asia/Singapore,2021-10-18 16:19:00
1634545200000,30.611111111111107,67,758.5455999999999,756.3865999999999,27.22222222222222,1,88,161,0.0,0.0,2.592832,0.118,8.102599999999999,2.5908,8.102599999999999,64.7954,202.692,46.36,0,1,31.338888888888885,25.05555555555555,35.77777777777778,23.77777777777777,2021-10-18 16:21:00,Asia/Singapore,2021-10-18 16:20:00
1634545260000,30.500000000000004,67,758.6218,756.4627999999999,27.22222222222222,1,87,165,0.0,0.0,2.592832,0.071,8.102599999999999,2.5908,8.102599999999999,64.7954,202.692,47.22,0,1,31.155555555555555,24.86111111111111,35.5,23.666666666666664,2021-10-18 16:21:00,Asia/Singapore,2021-10-18 16:21:00
1634545320000,30.500000000000004,67,758.7742,756.6152,27.22222222222222,1,87,161,0.0,0.0,2.592832,0.0,8.102599999999999,2.5908,8.102599999999999,64.7954,202.692,49.79,0,1,31.155555555555555,24.86111111111111,35.5,23.666666666666664,2021-10-18 16:21:00,Asia/Singapore,2021-10-18 16:22:00
1634545380000,30.500000000000004,67,758.7742,756.6152,27.22222222222222,1,88,161,0.0,0.0,2.592832,0.0,8.102599999999999,2.5908,8.102599999999999,64.7954,202.692,53.34,0,1,31.338888888888885,25.05555555555555,35.5,23.666666666666664,2021-10-18 16:21:00,Asia/Singapore,2021-10-18 16:23:00
1634545500000,30.38888888888889,67,758.5455999999999,756.3865999999999,27.22222222222222,1,88,180,0.0,0.0,2.592832,0.0,8.102599999999999,2.5908,8.102599999999999,64.7954,202.692,55.9,0,1,31.338888888888885,25.05555555555555,35.22222222222222,23.55555555555556,2021-10-18 16:21:00,Asia/Singapore,2021-10-18 16:25:00
1634545560000,30.38888888888889,67,758.6218,756.4627999999999,27.111111111111107,1,88,180,0.0,0.0,2.592832,0.0,8.102599999999999,2.5908,8.102599999999999,64.7954,202.692,55.41,0,1,31.03888888888889,24.944444444444446,35.22222222222222,23.55555555555556,2021-10-18 16:21:00,Asia/Singapore,2021-10-18 16:26:00
